[Title, Type, Description, Level]
[fifi, ES, foufou, 7]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
[null, null, null, null]
